dc_toy_num,dc_img_url,dc_model_name,dc_bin_num,dc_series,dc_color,dc_year,dc_series_num,dc_collector_num,dc_favourite,dc_notes,dc_duplicate,createdBy
CFK51,IMG_20150711_204942.jpg,HOT WHEELS FORD TRANSIT CONNECT,,HW OFF ROAD 2015 - HOT WHEELS TEST FACILITY,RED,2015,3/5,,,,,PDigwodDLwByNXtBS
CFK72,IMG_20150722_204330.jpg,DATSUN 620,,HW OFF-ROAD 2015 - HW HOT TRUCKS,GREEN,2015,,,,,,PDigwodDLwByNXtBS
CFK76,IMG_20150701_CFK76,RRROADSTER,,HW RACE 2015 - HW RACE TEAM,BLUE,2015,4/10,,,,,PDigwodDLwByNXtBS
CFK77,1076,C6 CORVETTE,,HW RACE 2015 - HW RACE TEAM,BLUE,2015,6/10,,,,,PDigwodDLwByNXtBS
CFK80,IMG_20150630_CFH15,ASTON MARTIN VANTAGE GT3,,HW RACE 2015 - WORLD RACE,BLUE,2015,,,X,,,PDigwodDLwByNXtBS
CFK80,IMG_20150701_CFK80,PROTOTYPE H-24,,HW RACE 2015 - HW RACE TEAM,BLUE,2015,9/10,,,,,PDigwodDLwByNXtBS
CFL39,IMG_20150711_205244.jpg,LAMBORGHINI HURACAN LP 610-4,,HW WORKSHOP 2015 - HW GARAGE,GREEN,2015,7/10,,,,,PDigwodDLwByNXtBS
CFL45,IMG_20150711_205435.jpg,BATMOBILE,,HW CITY 2015 - BATMAN,BLACK,2015,2/5,,,BATMAN THE BRAVE & THE BOLD,,PDigwodDLwByNXtBS
CFL46,IMG_20150718_152900.jpg,BATMAN LIVE! BATMOBILE,,HW CITY 2015 - BATMAN,BLACK,2015,,,,BATMAN LIVE! BATMOBILE,,PDigwodDLwByNXtBS
CFL58,IMG_20150701_CFL58,DATSUN 240Z,,HW WORKSHOP 2015 - THEN AND NOW,WHITE,2015,,,,,,PDigwodDLwByNXtBS
CFL73,IMG_20150711_205146.jpg,MORRIS MINI,,HW OFF-ROAD 2015 - ROAD RALLY,LT BLUE,2015,5/5,,,,,PDigwodDLwByNXtBS
CFM17,IMG_20150722_204413.jpg,70 PLYMOUTH AAR CUDA,,HW WORKSHOP 2015 - NIGHT BURNERZ,GREEN,2015,,,,,,PDigwodDLwByNXtBS
16942,732,TWANG THANG,,ROCKIN' RODS SERIES,,,1/4,569,,,,PDigwodDLwByNXtBS
16943,734,FERRARI 355,,ROCKIN' RODS SERIES,,,2/4,570,,,,PDigwodDLwByNXtBS
16944,736,TURBO FLAME,,ROCKIN' RODS SERIES,,,3/4,571,,,,PDigwodDLwByNXtBS
16945,738,PORSCHE 930,,ROCKIN' RODS SERIES,,,4/4,572,,,,PDigwodDLwByNXtBS
CFH62,569,PORSCHE 934 TURBO RSR,,HW WORKSHOP,BLACK,,,,,,,PDigwodDLwByNXtBS
CFH86,557,PORSCHE 911 GT3 RS,,HW WORKSHOP,YELLOW,,,,,,,PDigwodDLwByNXtBS
CFJ67,571,PORSCHE 934 TURBO RSR,,HW WORKSHOP,BLUE,,,,,,,PDigwodDLwByNXtBS
X1615,689,PORSCHE 918 SPYDER,,HW SHOWROOM,,,,,,,,PDigwodDLwByNXtBS
X1664,691,PORSCHE CARRERA GT,,HW CITY,,,,,,,,PDigwodDLwByNXtBS
18802,728,SCHOOL BUS,,MIXED SIGNALS SERIES,,,4/4,736,,,,PDigwodDLwByNXtBS
27068,838,HOT SEAT,1A,VIRTUAL COLLECTION,,2000,,,,,,PDigwodDLwByNXtBS
52941,717,MOTO-CROSSED,1A,FIRST EDITION,RED,2002,,,,,,PDigwodDLwByNXtBS
53729,924,FERRARI 308,1A,,SILVER,2001,,190,,,,PDigwodDLwByNXtBS
57233,836,CRAZED CLOWNS,1A,,RED,2003,2/5,,,,,PDigwodDLwByNXtBS
BDT92,581,LOTUS ESPRIT SI,,JAMES BOND 007,WHITE,,,,,THE SPY WHO LOVED ME,,PDigwodDLwByNXtBS
BFC46,591,70 TOYOTA CELICA,,HW CITY,,,,,,,,PDigwodDLwByNXtBS
BFF04,573,NISSAN SKYLINE H/T 2000GT-X,,HW WORKSHOP,BLACK,,,,,,,PDigwodDLwByNXtBS
BFF44,563,SUBARU IMPREZA WRX,,HW OFF-ROAD,BLUE,,,,,,,PDigwodDLwByNXtBS
BFF52,615,DATSUN 620,,HW OFF-ROAD,,,,,,,,PDigwodDLwByNXtBS
BFF81,565,MORRIS MINI,,HW WORKSHOP,GREEN,,,,,,,PDigwodDLwByNXtBS
BFF82,625,FIAT 500,,HW CITY,,,,,,,,PDigwodDLwByNXtBS
BFF91,637,LAFERRARI,,HW CITY,,,,,,,,PDigwodDLwByNXtBS
BFF97,639,PAGANI HUAYRA,,HW WORKSHOP,,,,,,,,PDigwodDLwByNXtBS
BFG32,561,LAND CRUSHER,,HW OFF-ROAD,ORANGE,,,,,,,PDigwodDLwByNXtBS
BFG36,577,MONSTER DAIRY DELIVERY,,HW OFF-ROAD,BLUE,,,,,,,PDigwodDLwByNXtBS
BFG64,605,BMW E36 M3 RACE,,HW RACE,RED,,,,,,,PDigwodDLwByNXtBS
BFG75,601,68 PLYMOUTH BARRACUDA FORMULA S,,HW WORKSHOP,,,,,,,,PDigwodDLwByNXtBS
CFG74,595,LOTUS ESPRIT SI,,HW WORKSHOP,,,,,,,,PDigwodDLwByNXtBS
CFH04,611,CORVETTE GRAND SPORT ROADSTER,,HW RACE,,,,,,,,PDigwodDLwByNXtBS
CFH20,1064,MCLAREN P1,,HW WORKSHOP,,,,,,,,PDigwodDLwByNXtBS
CFH32,597,COCKNEY CAB II,,HW CITY,,,,,,,,PDigwodDLwByNXtBS
CFH91,589,MAZDA RX-7,,HW WORKSHOP,,,,,,,,PDigwodDLwByNXtBS
CFJ03,627,14 CORVETTE STINGRAY,,HW WORKSHOP,,,,,,,,PDigwodDLwByNXtBS
CFJ16,603,TOYOTA AE-86 COROLLA,,HW WORKSHOP,,,,,,,,PDigwodDLwByNXtBS
CFJ20,559,DATSUN 240Z,,HW WORKSHOP,BLACK,,,,,,,PDigwodDLwByNXtBS
CFJ22,575,ASTON MARTIN 1963 DB5,,HW WORKSHOP,RED,,,,,,,PDigwodDLwByNXtBS
CFJ25,593,NISSAN 370Z,,HW WORKSHOP,,,,,,,,PDigwodDLwByNXtBS
CFJ55,587,12 ACURA NSX CONCEPT,,HW WORKSHOP,BLUE,,,,,,,PDigwodDLwByNXtBS
CFJ64,599,SRT VIPER GTS-R,,HW RACE,,,,,,,,PDigwodDLwByNXtBS
CFK90,1060,BMW E36 M3 RACE,,HW RACE ,BLUE,,,,,,,PDigwodDLwByNXtBS
CFV19,1062,VOLKSWAGEN CADDY,,HW OFF-ROAD,,,,,,,,PDigwodDLwByNXtBS
G6734,842,PROTOTIPO ALFA ROMEO B.A.T.9,1A,2005 FIRST EDITIONS,SILVER,2005,19/20,019,,,,PDigwodDLwByNXtBS
G6828,834,1971 PLYMOUTH GTX,1A,MUSCLE MANIA,YELLOW,2005,1/5,101,,,,PDigwodDLwByNXtBS
G6835,944,WHIP CREAMER II,1A,WHITE HEAT,WHITE,2005,3/5,108,,,,PDigwodDLwByNXtBS
J3277,621,DATSUN 240Z,,,,,,,,,,PDigwodDLwByNXtBS
J8024,994,LOTUS PROJECT M250,,,GREEN,,,,,,,PDigwodDLwByNXtBS
P2432,832,COCKNEY CAB II,,,,,6/10,,,,,PDigwodDLwByNXtBS
R0956,1025,71 DODGE CHARGER,,2010 NEW MODELS,,,36/44,,,,,PDigwodDLwByNXtBS
R3727,1006,SUPER VAN,,REAL RIDERS,,,1/34,,,,,PDigwodDLwByNXtBS
R7474,902,,,MYSTERY,,,1/24,,,OPENED,,PDigwodDLwByNXtBS
R7522,1031,DATSUN BLUEBIRD 510,,NIGHTBURNERZ,,,9/10,,,,,PDigwodDLwByNXtBS
R7556,940,TRIUMPH TR6,,,,,131/240,,,,,PDigwodDLwByNXtBS
T9760,888,MORRIS MINI,,TRACK STARS,,,10/15,,,,,PDigwodDLwByNXtBS
T9857,830,VOLKSWAGEN TYPE 181,,,,,10/10,,,,,PDigwodDLwByNXtBS
T9859,942,47 WILLYS,,HW RACING,,,2/10,,,,,PDigwodDLwByNXtBS
T9892,946,OLDS 442 W-30,,THRILL RACERS - DESERT,,,5/6,,,,,PDigwodDLwByNXtBS
T9895,1051,MAD PROPZ,,THRILL RACERS - HIGHWAY,,,2/6,,,,,PDigwodDLwByNXtBS
T9985,980,70 MONTE CARLO,,MUSCLE MANIA '11,,,6/10,,,,,PDigwodDLwByNXtBS
V0033,607,FORD GT,,THRILL RACERS - RACEWAY '11,,,,,,,,PDigwodDLwByNXtBS
V5500,617,2009 CORVETTE STINGRAY CONCEPT,,THRILL RACERS - CITY STUNT '12,,,,,,,,PDigwodDLwByNXtBS
W1541,886,84 PONTIAC FIERO 2M4,,,,,,,,,,PDigwodDLwByNXtBS
W1551,860,PACKIN' PACER,,,,,,,,,,PDigwodDLwByNXtBS
W1566,1047,VOLKSWAGEN BEETLE,,THE HOT ONES,,,,,,,,PDigwodDLwByNXtBS
W5150,709,SURFIN' SCHOOL BUS,,HANNA-BARBERA PRESENTS,,,,,,THE JETSONS,,PDigwodDLwByNXtBS
X1632,715,70 TOYOTA CELICA,,HW CITY,,,,,,,,PDigwodDLwByNXtBS
X1639,671,12 MINI COUNTRYMAN RALLY,,HW STUNT,,,,,,,,PDigwodDLwByNXtBS
X1640,641,12 ACURA NSX CONCEPT,,HW SHOWROOM,,,,,,,,PDigwodDLwByNXtBS
X1731,693,CITROEN C4 RALLY,,HW STUNT,,,,,,,,PDigwodDLwByNXtBS
X1733,685,SUBARU WRX STI,,HW CITY,,,,,,,,PDigwodDLwByNXtBS
X1782,695,Blue,,HW SHOWROOM,,,,,,,,PDigwodDLwByNXtBS
X1786,687,NISSAN SKYLINE GT-R (R34),,HW SHOWROOM,,,,,,,,PDigwodDLwByNXtBS
X1811,579,67 CAMARO,,HW SHOWROOM,BLACK,,,,,,,PDigwodDLwByNXtBS
X1844,673,TOYOTA 2000 GT,,HW SHOWROOM,,,,,,,,PDigwodDLwByNXtBS
X1862,675,70 TOYOTA CELICA,,HW CITY,,,,,,,,PDigwodDLwByNXtBS
X1873,619,HONDA S2000,,HW CITY,,,,,,,,PDigwodDLwByNXtBS
X1953,629,BMW 2002,,HW SHOWROOM,BLUE,,,,,,,PDigwodDLwByNXtBS
X1990,623,LOTUS PROJECT M250,,HW SHOWROOM,,,,,,,,PDigwodDLwByNXtBS
X1998,633,65 MUSTANG 2+2 FASTBACK,,HW SHOWROOM,,,,,,,,PDigwodDLwByNXtBS
X2001,635,64 CHEVY NOVA STATION WAGON,,HW SHOWROOM,,,,,,,,PDigwodDLwByNXtBS
X2031,631,92 BMW M3,,HW SHOWROOM,BLUE,,,,,,,PDigwodDLwByNXtBS
X5953,697,CAMARO Z28,,4TH OF JULY,BLUE,,1/5,,,,,PDigwodDLwByNXtBS
X5954,699,TRACK T,,4TH OF JULY,GOLD,,2/5,,,,,PDigwodDLwByNXtBS
X5955,701,RODGER DODGER,,4TH OF JULY,RED,,3/5,,,,,PDigwodDLwByNXtBS
X5956,703,CUSTOM '62 CHEVY,,4TH OF JULY,BLUE,,4/5,,,,,PDigwodDLwByNXtBS
X5957,705,64 LINCOLN CONTINENTAL,,4TH OF JULY,RED,,5/5,,,,,PDigwodDLwByNXtBS
Y2151,643,64 BUICK RIVIERA,,SUPERMAN,,,1/6,,,,,PDigwodDLwByNXtBS
Y2152,645,65 PONTIAC GTO,,SUPERMAN,,,2/6,,,,,PDigwodDLwByNXtBS
Y2153,651,05 FORD MUSTANG GT,,SUPERMAN,,,5/6,,,,,PDigwodDLwByNXtBS
Y2154,647,CUSTOM '11 CAMARO,,SUPERMAN,,,3/6,,,,,PDigwodDLwByNXtBS
Y2155,649,8 CRATE,,SUPERMAN,,,4/6,,,,,PDigwodDLwByNXtBS
Y2156,653,JADED,,SUPERMAN,,,6/6,,,,,PDigwodDLwByNXtBS
CFL64,IMG_20150726_152027.jpg,12 FORD FIESTA,,HW OFF-ROAD 2015 - ROAD RALLY,GREEN,2015,,,,,,PDigwodDLwByNXtBS
CFH16,IMG_20150726_152048.jpg,90 ACURA NSX,,HW WORKSHOP 2015 - HW GARAGE,RED,2015,,,X,,,PDigwodDLwByNXtBS
CMJ29,IMG_20150726_152117.jpg,COCKNEY CAB II,1A,TOM AND JERRY,GREEN/WHITE,2015,1/6,,,,,PDigwodDLwByNXtBS
CMJ31,IMG_20150726_152135.jpg,THE GOV'NER,1A,TOM AND JERRY,RED,2015,3/6,,,,,PDigwodDLwByNXtBS
CMJ32,IMG_20150726_152157.jpg,HW PURSUIT,1A,TOM AND JERRY,BLUE/WHITE,2015,4/6,,,,,PDigwodDLwByNXtBS
CMJ33,IMG_20150726_152232.jpg,AVANT GARDE,1A,TOM AND JERRY,BLACK/ORANGE,2015,5/6,,,,,PDigwodDLwByNXtBS
CMJ34,IMG_20150726_152249.jpg,RYURA LX,1A,TOM AND JERRY,BLACK,2015,6/6,,,,,PDigwodDLwByNXtBS
CFH18,IMG_20150729_194718.jpg,70 FORD ESCORT RS1600,,HW WORKSHOP 2015 - HW GARAGE,BLUE,2015,,,X,,,PDigwodDLwByNXtBS
CFL63,IMG_20150730_203009.jpg,VOLKSWAGEN CADDY,,HW OFF-ROAD 2015 - HW HOT TRUCKS,SILVER,2015,,,,,,PDigwodDLwByNXtBS
BDR31,IMG_20150730_203035.jpg,1987 TOYOTA PICKUP,,HOT WHEELS COOL CLASSICS,GOLD,2014,,,X,,,PDigwodDLwByNXtBS
