_id,dc_toy_num,dc_img_url,dc_model_name,dc_bin_num,dc_series,dc_color,dc_year,dc_series_num,dc_collector_num,dc_favourite,dc_notes,dc_duplicate,createdBy,dc_date_added,dc_treasure_hunt,dc_damaged
560370a2d62d105a0c933386,16667,http://static.christanfergus.com/images/diecast/DSC00790.JPG,WAY 2 FAST,1A,1997 FIRST EDITIONS,,1997,7/12/2015,514,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933387,16669,http://static.christanfergus.com/images/diecast/DSC00792.JPG,MERCEDES C-CLASS,1A,1997 FIRST EDITIONS,,1997,10/12/2015,516,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933388,16668,http://static.christanfergus.com/images/diecast/DSC00794.JPG,97 CORVETTE,1A,1997 FIRST EDITIONS,,1997,11/12/2015,515,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933389,18143,http://static.christanfergus.com/images/diecast/DSC01041.JPG,ESCORT RALLY,1A,1998 FIRST EDITIONS,WHITE,1997,1/48,637,TRUE,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93338a,18545,http://static.christanfergus.com/images/diecast/DSC00667.JPG,PANOZ GTR-1,1A,1998 FIRST EDITIONS,WHITE,1998,19/40,657,TRUE,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93338b,18531,http://static.christanfergus.com/images/diecast/DSC00800.JPG,CHAPARRAL 2,1A,1998 FIRST EDITIONS,WHITE,1998,28/40,669,TRUE,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93338c,18144,http://static.christanfergus.com/images/diecast/IMG_20150823_114937.jpg,JAGUAR D-TYPE,1A,1998 FIRST EDITIONS,BLUE,1998,6/48,638,TRUE,,,PDigwodDLwByNXtBS,7/23/2015,,
560370a2d62d105a0c93338d,18535,http://static.christanfergus.com/images/diecast/DSC00796.JPG,70 ROADRUNNER,1A,1998 FIRST EDITIONS,,1998,17/40,661,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93338e,18674,http://static.christanfergus.com/images/diecast/DSC00798.JPG,40 FORD,1A,1998 FIRST EDITIONS,,1998,20/40,654,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93338f,18850,http://static.christanfergus.com/images/diecast/DSC00802.JPG,FORD GT-90,1A,1998 FIRST EDITIONS,,1998,14/40,668,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933390,18530,http://static.christanfergus.com/images/diecast/DSC00804.JPG,MERCEDES SLK,1A,1998 FIRST EDITIONS,,1998,11/40,646,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933391,18856,http://static.christanfergus.com/images/diecast/DSC00806.JPG,WHATTA DRAG,1A,1998 FIRST EDITIONS,,1998,36/40,673,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933392,18842,http://static.christanfergus.com/images/diecast/DSC00808.JPG,SOLAR EAGLE III,1A,1998 FIRST EDITIONS,,1998,23/40,650,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933393,18587,http://static.christanfergus.com/images/diecast/DSC00810.JPG,32 FORD,1A,1998 FIRST EDITIONS,,1998,7/40,636,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933394,18840,http://static.christanfergus.com/images/diecast/DSC00812.JPG,SUPER COMP DRAGSTER,1A,1998 FIRST EDITIONS,,1998,22/40,655,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933395,18544,http://static.christanfergus.com/images/diecast/DSC00814.JPG,IROC FIREBIRD,1A,1998 FIRST EDITIONS,,1998,16/40,653,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933396,18678,http://static.christanfergus.com/images/diecast/DSC00816.JPG,HOT SEAT,1A,1998 FIRST EDITIONS,,1998,13/40,648,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933397,18536,http://static.christanfergus.com/images/diecast/DSC00818.JPG,CALLWAY C-7,1A,1998 FIRST EDITIONS,,1998,31/40,677,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933398,18542,http://static.christanfergus.com/images/diecast/DSC00820.JPG,MUSTANG COBRA,1A,1998 FIRST EDITIONS,,1998,18/40,665,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933399,18540,http://static.christanfergus.com/images/diecast/DSC00822.JPG,LAKESTER,1A,1998 FIRST EDITIONS,,1998,12/40,647,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93339a,18841,http://static.christanfergus.com/images/diecast/DSC00824.JPG,TOW JAM,1A,1998 FIRST EDITIONS,,1998,25/40,658,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93339b,18843,http://static.christanfergus.com/images/diecast/DSC00826.JPG,AT-A-TUDE,1A,1998 FIRST EDITIONS,,1998,34/40,667,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93339c,18847,http://static.christanfergus.com/images/diecast/DSC00828.JPG,BAD MUDDER,1A,1998 FIRST EDITIONS,,1998,33/40,662,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93339d,18852,http://static.christanfergus.com/images/diecast/IMG_20150711_205012.jpg,PORSCHE 911 GT1-98,1A,1999 FIRST EDITIONS,WHITE,1999,25/26,676,TRUE,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93339e,21073,http://static.christanfergus.com/images/diecast/IMG_20150718_152837.jpg,MERCEDES CLK-LM,1A,1999 FIRST EDITIONS,SILVER,1999,26/26,926,TRUE,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93339f,21068,http://static.christanfergus.com/images/diecast/IMG_20150721_202141.jpg,FORD GT-40,1A,1999 FIRST EDITIONS,BLUE,1999,16/26,921,TRUE,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333a0,21075,http://static.christanfergus.com/images/diecast/DSC00778.JPG,CHRYSLER PRONTO,1A,1999 FIRST EDITIONS,,1999,23/26,928,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333a1,21074,http://static.christanfergus.com/images/diecast/DSC00780.JPG,56 FORD TRUCK,1A,1999 FIRST EDITIONS,,1999,22/26,927,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333a2,52938,http://static.christanfergus.com/images/diecast/IMG_20150722_204236.jpg,LANCIA STRATOS,1A,2002 FIRST EDITIONS,RED,2002,25/42,37,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333a3,B3566,http://static.christanfergus.com/images/diecast/DSC00928.JPG,DAIRY DELIVERY,1A,2004 FIRST EDITIONS - BLINGS,WHITE,2004,12/100,12,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333a4,G6734,http://static.christanfergus.com/images/diecast/DSC00842.JPG,PROTOTIPO ALFA ROMEO B.A.T.9,1A,2005 FIRST EDITIONS,SILVER,2005,19/20,19,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333a5,G6723,http://static.christanfergus.com/images/diecast/DSC00926.JPG,BLOCK 'O WOOD,1A,2005 FIRST EDITIONS - BLINGS,WOOD/BURGANDY,2005,8/10/2015,38,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333a6,K6138,http://static.christanfergus.com/images/diecast/DSC00916.JPG,SHELBY COBRA DAYTONA COUPE,1A,2007 NEW MODELS,SILVER,2007,6/36,,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333a7,18795,http://static.christanfergus.com/images/diecast/DSC00750.JPG,ALIEN,1A,ARTISTIC LICENSE SERIES,WHITE,1998,1/4/2015,729,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333a8,18796,http://static.christanfergus.com/images/diecast/DSC00752.JPG,57 CHEVY,1A,ARTISTIC LICENSE SERIES,GREY,1998,2/4/2015,730,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333a9,18797,http://static.christanfergus.com/images/diecast/DSC00754.JPG,VW BUG,1A,ARTISTIC LICENSE SERIES,WHITE,1998,3/4/2015,731,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333aa,18798,http://static.christanfergus.com/images/diecast/DSC00756.JPG,1970 PLYMOUTH BARRACUDA,1A,ARTISTIC LICENSE SERIES,BLACK,1998,4/4/2015,732,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333ab,16915,http://static.christanfergus.com/images/diecast/DSC00730.JPG,MONEYED MADNESS,1A,BIFF! BAM! BOOM! SERIES,BLUE,1997,2/4/2015,542,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333ac,K7639,http://static.christanfergus.com/images/diecast/DSC00964.JPG,AUDACIOUS,1A,CODE CAR,BLACK,2007,4/24/2015,,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333ad,16938,http://static.christanfergus.com/images/diecast/DSC00740.JPG,SILHOUETTE II,1A,DEALER'S CHOICE SERIES,BLUE,1997,1/4/2015,565,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333ae,16939,http://static.christanfergus.com/images/diecast/DSC00744.JPG,STREET BEAST,1A,DEALER'S CHOICE SERIES,WHITE,1997,2/4/2015,566,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333af,16940,http://static.christanfergus.com/images/diecast/DSC00746.JPG,BAJA BUG,1A,DEALER'S CHOICE SERIES,MAROON,1997,3/4/2015,567,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333b0,16941,http://static.christanfergus.com/images/diecast/DSC00748.JPG,63 CORVETTE,1A,DEALER'S CHOICE SERIES,BLACK,1997,4/4/2015,568,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333b1,52941,http://static.christanfergus.com/images/diecast/DSC00717.JPG,MOTO-CROSSED,1A,FIRST EDITION,RED,2002,,,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333b2,CFV00,http://static.christanfergus.com/images/diecast/IMG_20150701_CFV00.JPG,63 MUSTANG II CONCEPT,1A,HAPPY FATHER'S DAY,BLUE,2015,,,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333b3,CFV02,http://static.christanfergus.com/images/diecast/IMG_20150701_CFV02.JPG,CUSTOM'11 CAMARO,1A,HAPPY FATHER'S DAY,COPPER,2015,,,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333b4,CFV03,http://static.christanfergus.com/images/diecast/IMG_20150701_CFV03.JPG,POISON ARROW,1A,HAPPY FATHER'S DAY,PURPLE,2015,,,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333b5,CFV05,http://static.christanfergus.com/images/diecast/IMG_20150701_CFV05.JPG,CORVETTE C6,1A,HAPPY FATHER'S DAY,TURQUOISE,2015,,,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333b6,18802,http://static.christanfergus.com/images/diecast/DSC00728.JPG,SCHOOL BUS,1A,MIXED SIGNALS SERIES,YELLOW,1998,4/4/2015,736,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333b7,G6828,http://static.christanfergus.com/images/diecast/DSC00834.JPG,1971 PLYMOUTH GTX,1A,MUSCLE MANIA,YELLOW,2005,1/5/2015,101,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333b8,15218,http://static.christanfergus.com/images/diecast/DSC00840.JPG,DODGE RAM 1500 (1995),1A,RACE TRUCK SERIES,SILVER,1996,1/4/2015,380,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333b9,16942,http://static.christanfergus.com/images/diecast/DSC00732.JPG,TWANG THANG,1A,ROCKIN' RODS SERIES,BURGANDY,1997,1/4/2015,569,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333ba,16943,http://static.christanfergus.com/images/diecast/DSC00734.JPG,FERRARI 355,1A,ROCKIN' RODS SERIES,BLACK,1997,2/4/2015,570,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333bb,16944,http://static.christanfergus.com/images/diecast/DSC00736.JPG,TURBO FLAME,1A,ROCKIN' RODS SERIES,PURPLE,1997,3/4/2015,571,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333bc,16945,http://static.christanfergus.com/images/diecast/DSC00738.JPG,PORSCHE 930,1A,ROCKIN' RODS SERIES,GREEN,1997,4/4/2015,572,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333bd,21319,http://static.christanfergus.com/images/diecast/IMG_20150629_203550.JPG,PIKES PEAK CELICA,1A,SUGAR RUSH SERIES 2,WHITE,1999,3/4/2015,971,,SWEET TARTS,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333be,CMJ29,http://static.christanfergus.com/images/diecast/IMG_20150726_152117.jpg,COCKNEY CAB II,1A,TOM AND JERRY,GREEN/WHITE,2015,1/6/2015,,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333bf,CMJ31,http://static.christanfergus.com/images/diecast/IMG_20150726_152135.jpg,THE GOV'NER,1A,TOM AND JERRY,RED,2015,3/6/2015,,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c9333c0,CMJ32,http://static.christanfergus.com/images/diecast/IMG_20150726_152157.jpg,HW PURSUIT,1A,TOM AND JERRY,BLUE/WHITE,2015,4/6/2015,,,,,PDigwodDLwByNXtBS,,,
