dc_toy_num,dc_img_url,dc_model_name,dc_bin_num,dc_series,dc_color,dc_year,dc_series_num,dc_collector_num,dc_favourite,dc_notes,dc_duplicate,createdBy,dc_date_added
CMJ31,http://static.christanfergus.com/images/diecast/IMG_20150726_152135.jpg,THE GOV'NER,1A,TOM AND JERRY,RED,2015,3/6/2015,,,,,PDigwodDLwByNXtBS,
CMJ32,http://static.christanfergus.com/images/diecast/IMG_20150726_152157.jpg,HW PURSUIT,1A,TOM AND JERRY,BLUE/WHITE,2015,4/6/2015,,,,,PDigwodDLwByNXtBS,
CMJ33,http://static.christanfergus.com/images/diecast/IMG_20150726_152232.jpg,AVANT GARDE,1A,TOM AND JERRY,BLACK/ORANGE,2015,5/6/2015,,,,,PDigwodDLwByNXtBS,
CMJ34,http://static.christanfergus.com/images/diecast/IMG_20150726_152249.jpg,RYURA LX,1A,TOM AND JERRY,BLACK,2015,6/6/2015,,,,,PDigwodDLwByNXtBS,
CFH18,http://static.christanfergus.com/images/diecast/IMG_20150729_194718.jpg,70 FORD ESCORT RS1600,2A,HW WORKSHOP 2015 - HW GARAGE,BLUE,2015,,,TRUE,,,PDigwodDLwByNXtBS,
CFL63,http://static.christanfergus.com/images/diecast/IMG_20150730_203009.jpg,VOLKSWAGEN CADDY,2A,HW OFF-ROAD 2015 - HW HOT TRUCKS,SILVER,2015,,,,,,PDigwodDLwByNXtBS,
BDR31,http://static.christanfergus.com/images/diecast/IMG_20150730_203035.jpg,1987 TOYOTA PICKUP,3A,HOT WHEELS COOL CLASSICS,GOLD,2014,,,TRUE,,,PDigwodDLwByNXtBS,
X1981,http://static.christanfergus.com/images/diecast/IMG_20150731_150319.jpg,1987 TOYOTA PICKUP,3A,HW SHOWROOM 2013 - HW HOT TRUCKS,TAN,2013,165/250,,TRUE,,,PDigwodDLwByNXtBS,8/23/2015
CFL29,http://static.christanfergus.com/images/diecast/IMG_20150731_150337.jpg,MCLAREN P1,2A,HW WORKSHOP 2015 - HW GARAGE,GREY,2015,223/250,,TRUE,,,PDigwodDLwByNXtBS,8/23/2015
CFH35,http://static.christanfergus.com/images/diecast/IMG_20150731_150354.jpg,10 FORD SHELBY GT500,2A,HW CITY 2015 - HW PERFORMANCE,WHITE,2015,11/250,,,,,PDigwodDLwByNXtBS,8/23/2015
BFG34,http://static.christanfergus.com/images/diecast/IMG_20150823_062656.jpg,70 FORD MUSTANG MACH 1,3A,HW CITY 2014 - MUSTANG 50TH,YELLOW,2014,,,,,,PDigwodDLwByNXtBS,8/23/2015
BDV29,http://static.christanfergus.com/images/diecast/IMG_20150823_063049.jpg,CATERHAM SUPERLIGHT R500,M1,MBX ADVENTURE CITY,BRG,2013,9/120,,,,,PDigwodDLwByNXtBS,8/23/2015
CFM03,http://static.christanfergus.com/images/diecast/IMG_20150823_063257.jpg,ASTON MARTIN1963 DB5,2A,HW WORKSHOP 2015 - THEN AND NOW,BLUE,2015,,,,,,PDigwodDLwByNXtBS,
CFH25,http://static.christanfergus.com/images/diecast/IMG_20150823_063334.jpg,GREAT GATSPEED,2A,HW CITY 2015 - HW PERFORMANCE,RED,2015,,,,,,PDigwodDLwByNXtBS,8/23/2015
CFH80,http://static.christanfergus.com/images/diecast/IMG_20150823_063424.jpg,DMC DELOREAN,2A,HW RACE 2015 - TRACK ACES,RED,2015,,,TRUE,,,PDigwodDLwByNXtBS,8/23/2015
CFJ32,http://static.christanfergus.com/images/diecast/IMG_20150823_063449.jpg,FORD SHELBY GR-1 CONCEPT,2A,HW RACE 2015 - TRACK ACES,BLACK,2015,,,,,,PDigwodDLwByNXtBS,8/23/2015
CFL79,http://static.christanfergus.com/images/diecast/IMG_20150823_063519.jpg,14 CORVETTE STINGRAY,2A,HW WORKSHOP 2015 - HW GARAGE,YELLOW,2015,,,,,,PDigwodDLwByNXtBS,8/23/2015
CFL59,http://static.christanfergus.com/images/diecast/IMG_20150823_063559.jpg,CUSTOM '12 FORD MUSTANG,2A,HW WORKSHOP 2015 - HW DRIFT RACE,SILVER,2015,,,,,,PDigwodDLwByNXtBS,8/23/2015
CFH40,http://static.christanfergus.com/images/diecast/IMG_20150823_063622.jpg,HONDA S2000,2A,HW CITY 2015 - HW PERFORMANCE,WHITE,2015,,,,,,PDigwodDLwByNXtBS,8/23/2015
18144,http://static.christanfergus.com/images/diecast/IMG_20150823_114937.jpg,JAGUAR D-TYPE,1A,1998 FIRST EDITIONS,BLUE,1998,6/48,638,TRUE,,,PDigwodDLwByNXtBS,7/23/2015
T9678,,VOLKSWAGEN BRASILIA,4A,2011 NEW MODELS,AQUA,2011,8/244,,,,,PDigwodDLwByNXtBS,8/23/2015
BDT27,,85 TOYOTA 4RUNNER,M1,MBX EXPLORERS,GREY,2014,37/120,,,,,PDigwodDLwByNXtBS,8/23/2015
